Symbol,Date,Open,High,Low,Close,Volume
VBF,02-Jan-2017,18.49,18.49,18.49,18.49,0
VBF,03-Jan-2017,18.51,18.56,18.5,18.56,24500
VBF,04-Jan-2017,18.56,18.56,18.47,18.47,19500
VBF,05-Jan-2017,18.45,18.56,18.45,18.54,26500
VBF,06-Jan-2017,18.56,18.56,18.47,18.55,33700
VBF,09-Jan-2017,18.55,18.61,18.52,18.56,31300
VBF,10-Jan-2017,18.6,19.33,18.6,19.21,73800
VBF,11-Jan-2017,19.12,19.12,18.87,18.94,44800
VBF,12-Jan-2017,18.88,18.88,18.67,18.67,23000
VBF,13-Jan-2017,18.69,18.69,18.63,18.65,13800
VBF,16-Jan-2017,18.65,18.65,18.65,18.65,0
VBF,17-Jan-2017,18.64,18.74,18.62,18.72,31400
VBF,18-Jan-2017,18.67,18.68,18.52,18.53,29600
VBF,19-Jan-2017,18.4,18.57,18.4,18.57,21100
VBF,20-Jan-2017,18.55,18.55,18.44,18.46,20700
VBF,23-Jan-2017,18.55,18.75,18.53,18.74,29500
VBF,24-Jan-2017,18.78,18.78,18.65,18.7,21600
VBF,25-Jan-2017,18.69,18.69,18.48,18.5,36400
VBF,26-Jan-2017,18.54,18.58,18.49,18.58,18700
VBF,27-Jan-2017,18.56,18.57,18.49,18.5,28700
VBF,30-Jan-2017,18.42,18.56,18.42,18.49,32900
VBF,31-Jan-2017,18.43,18.56,18.43,18.5,25900
VBF,01-Feb-2017,18.47,18.52,18.44,18.44,19700
VBF,02-Feb-2017,18.47,18.54,18.46,18.49,29600
VBF,03-Feb-2017,18.47,18.56,18.47,18.47,33600
VBF,06-Feb-2017,18.45,18.54,18.45,18.52,20400
VBF,07-Feb-2017,18.47,18.57,18.47,18.55,21000
VBF,08-Feb-2017,18.58,18.74,18.58,18.68,41400
VBF,09-Feb-2017,18.68,18.69,18.65,18.68,34500
VBF,10-Feb-2017,18.69,18.7,18.61,18.65,21700
VBF,13-Feb-2017,18.61,18.82,18.61,18.75,27000
VBF,14-Feb-2017,18.77,18.77,18.64,18.65,19700
VBF,15-Feb-2017,18.74,18.99,18.68,18.76,52200
VBF,16-Feb-2017,18.76,18.78,18.65,18.78,40000
VBF,17-Feb-2017,18.81,18.81,18.74,18.78,41000
VBF,20-Feb-2017,18.78,18.78,18.78,18.78,0
VBF,21-Feb-2017,18.71,18.84,18.71,18.78,40700
VBF,22-Feb-2017,18.78,18.83,18.78,18.8,26800
VBF,23-Feb-2017,18.81,18.88,18.8,18.86,76700
VBF,24-Feb-2017,18.92,18.94,18.88,18.92,33900
VBF,27-Feb-2017,18.99,19.02,18.94,19.01,35500
VBF,28-Feb-2017,19.01,19.01,18.94,18.98,26100
VBF,01-Mar-2017,18.98,18.98,18.75,18.78,33600
VBF,02-Mar-2017,18.76,18.82,18.72,18.72,39500
VBF,03-Mar-2017,18.74,18.84,18.72,18.77,23800
VBF,06-Mar-2017,18.73,18.78,18.7,18.75,23200
VBF,07-Mar-2017,18.73,18.75,18.64,18.73,27200
VBF,08-Mar-2017,18.67,18.7,18.57,18.59,26000
VBF,09-Mar-2017,18.54,18.55,18.28,18.33,32400
VBF,10-Mar-2017,18.37,18.39,18.27,18.32,41900
VBF,13-Mar-2017,18.28,18.31,18.22,18.22,23000
VBF,14-Mar-2017,18.19,18.3,18.19,18.2,17900
VBF,15-Mar-2017,18.17,18.47,18.17,18.45,29200
